,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Severo-Kuril'sk,50.6789,156.125,27.25,97,100,23.33,RU,1613020362
1,Cape Town,-33.9258,18.4232,68.0,88,0,11.5,ZA,1613020452
2,Saint Paul Harbor,57.79,-152.4072,37.4,70,90,39.12,US,1613020193
3,Luhyny,51.082,28.4006,14.23,96,98,8.28,UA,1613020457
4,Grand Gaube,-20.0064,57.6608,84.0,65,50,8.01,MU,1613020457
5,Chickasha,35.0526,-97.9364,19.4,86,90,16.11,US,1613020457
6,Ushuaia,-54.8,-68.3,64.4,48,0,3.44,AR,1613020457
7,Nabire,-3.3667,135.4833,87.82,62,99,4.29,ID,1613020458
8,Vestmannaeyjar,63.4427,-20.2734,40.73,70,100,27.51,IS,1613020458
9,New Norfolk,-42.7826,147.0587,75.99,27,97,4.0,AU,1613020458
10,Atbasar,51.8,68.3333,-9.49,90,61,6.08,KZ,1613020458
11,Hobart,-42.8794,147.3294,75.99,35,75,10.36,AU,1613020193
12,Egvekinot,66.3167,-179.1667,-25.87,82,1,12.57,RU,1613020459
13,Rikitea,-23.1203,-134.9692,78.6,77,7,12.12,PF,1613020459
14,Yellowknife,62.456,-114.3525,-18.0,83,40,5.75,CA,1613020344
15,Carnarvon,-24.8667,113.6333,80.6,65,0,20.71,AU,1613020459
16,Laguna,38.421,-121.4238,55.0,71,1,8.05,US,1613020459
17,Samarai,-10.6167,150.6667,86.32,65,79,10.74,PG,1613020459
18,Airai,-8.9266,125.4092,72.55,87,78,3.4,TL,1613020460
19,Jinxiang,27.4327,120.6062,53.55,89,100,12.68,CN,1613020460
20,Bluff,-46.6,168.3333,52.72,83,100,26.04,NZ,1613020164
21,Nanortalik,60.1432,-45.2371,23.29,88,40,10.76,GL,1613020460
22,Hermanus,-34.4187,19.2345,68.0,86,4,4.0,ZA,1613020298
23,Barrow,71.2906,-156.7887,-43.6,84,1,12.66,US,1613020184
24,Mataura,-46.1927,168.8643,51.44,79,100,11.5,NZ,1613020460
25,Inírida,3.8653,-67.9239,75.15,83,100,2.44,CO,1613020229
26,Berlevåg,70.8578,29.0864,17.6,73,20,9.22,NO,1613020461
27,Lompoc,34.6391,-120.4579,51.8,87,1,10.96,US,1613020372
